Composite Element REF,Gene_Symbol,Chromosome,Genomic_Coordinate
cg00112517,PPP1R1B,17,37783011
cg00113020,LILRB4,19,55173482
cg00113951,CABP1,12,121078090
cg00115714,AMD1,6,111196112
cg00116234,ADAMTSL1,9,18474243
cg00116838,RTN2;FLJ40125,19,46001746
cg00117172,RUNX3,1,25255838
cg00119079,LAMP3,3,182880278
cg00121158,KDM4C,9,6757826
cg00121640,ASTN2,9,120176515
cg00121904,MAOB,X,43741826
cg00123035,RFX5,1,151319538
cg00126034,WNT3,17,44896162
cg00126657,SSX6,X,47967250
cg00126698,BTK,X,100640503
cg00128197,HSD17B10,X,53461455
cg00128560,TIGD7,16,3352013
cg00128654,C14orf102,14,90798063
cg00128766,KIAA0494,1,47185216
cg00128877,MKNK1,1,47070178
cg00129774,CDK2;SILV,12,56360414
cg00131121,POLR2J,7,102119710
cg00131557,DNAJC15,13,43596656
cg00132141,CTNNA3,10,69456307
cg00133909,CD276,15,73977201
cg00134539,UBASH3A,21,43824071
cg00134787,MYH1,17,10419499
cg00135056,C3orf37,3,128997295
cg00136105,GNPTAB,12,102224911
cg00136405,IL21,4,123542198
cg00136477,C1QC,1,22970339
cg00136736,THOC5,22,29949905
cg00138126,PMEPA1,20,56286697
cg00141162,HCLS1,3,121379777
cg00141845,UPRT,X,74493352
cg00143376,NMUR1,2,232394702
cg00143998,HIST3H2A;HIST3H2BB,1,228645859
cg00145118,GNPDA1,5,141393931
cg00145348,APEX2,X,55026862
cg00146096,FANCF,11,22647309
cg00149659,C3orf10,3,10157352
cg00149976,MGLL,3,127541529
cg00151234,PGK1,X,77359363
cg00151607,TRAPPC2L;GALNS,16,88923507
cg00152644,SPRR2E,1,153068236
cg00155167,VPS13B,8,100025831
cg00155485,MED13L,12,116714600
cg00155609,PRDX2,19,12912527
cg00156216,APLP2,11,129939849
cg00156744,STK10,5,171615663
cg00158308,OXGR1,13,97646341
cg00160914,DDX20;C1orf183,1,112299263
cg00162401,GSTA4,6,52859823
cg00162643,DDX58,9,32526492
cg00164898,MAPK11,22,50709127
cg00165981,COL4A3BP;POLK,5,74808039
cg00167504,BLVRA,7,43798622
cg00168082,ABL1,9,133589177
cg00168785,WDSUB1,2,160142643
cg00168942,GJD4,10,35894430
cg00171126,WRB,21,40752522
cg00171161,NUDT9,4,88343636
cg00174500,CMTM5,14,23846479
cg00174901,PALM,19,709889
cg00176210,ANK1,8,41654967
cg00176879,VPS16;PTPRA,20,2843525
cg00177013,ARFRP1;ZGPAT,20,62339100
cg00177698,PNPO,17,46018875
cg00177923,LEPROTL1,8,29952655
cg00178790,C18orf19;RNMT,18,13726864
cg00179446,UPF3B,X,118986947
cg00180012,LACE1,6,108615929
cg00180631,MTM1,X,149736640
cg00183916,HS3ST3B1,17,14204936
cg00184884,SFI1,22,31892343
cg00184893,ALOXE3,17,8021705
cg00185103,ZNF45,19,44430886
cg00185839,LRDD,11,804954
cg00186141,PODXL,7,131241768
cg00186701,TSPYL5,8,98290510
cg00186954,ST5;C11orf17,11,8933980
cg00187380,HOXC4;HOXC5,12,54427384
cg00187686,TCN1,11,59634218
cg00191052,CHST7,X,46432770
cg00194146,GFOD1,6,13488404
cg00195561,CHRM4,11,46408584
cg00197381,FAM53C,5,137673669
cg00197641,MRPL52,14,23299461
cg00199549,MCM5,22,35795374
cg00200063,USP32,17,58469941
cg00201234,FBLN2,3,13590968
cg00202702,C11orf70,11,101918157
cg00202711,HTR2C,X,113818410
cg00204262,ECH1,19,39323158
cg00206052,RP11-529I10.4;POLL,10,103348143
cg00207534,KIAA0174,16,71929512
cg00208830,LAMC2,1,183154778
cg00208967,OLFM2,19,10047924
cg00209066,BRD1,22,50218923
cg00209951,DENND2C,1,115212834
cg00210842,APAF1;IKBIP,12,99039578
cg00211661,ARAP1,11,72433619
cg00213044,KRT6A,12,52886438
cg00213331,SIL1,5,138463463
cg00213714,ASTN2;TRIM32,9,119449370
cg00214855,CCDC90A,6,13813947
cg00215066,MYO9B,19,17212316
cg00216361,GAP43,3,115342527
cg00216758,RASSF7;C11orf35,11,560589
cg00217795,DIO2,14,80677688
cg00221494,FARP1,13,98794593
cg00223186,ACBD6,1,180472200
cg00223950,UBR4,1,19536222
cg00224234,GLOD4;RNMTL1,17,685693
cg00224508,CDC42SE1;MLLT11,1,151031323
cg00226904,SERPINB5,18,61157065
cg00226923,FGD2,6,36972027
cg00228799,ENDOG,9,131580591
cg00229387,TJAP1,6,43445942
cg00230271,TBCK;AIMP1,4,107237183
cg00230368,IGF2R,6,160389833
cg00230502,CCDC60,12,119772381
cg00230685,SCML1,X,17755839
cg00231140,ACAA2;SCARNA17,18,47339702
cg00231644,TUBB2A,6,3158512
cg00231920,VPS16;FAM113A,20,2821308
cg00233307,MAP4K1;EIF3K,19,39109076
cg00234616,TLX2,2,74740572
cg00234961,ZBED4,22,50246573
cg00236832,RARA,17,38465489
cg00237010,NINJ2,12,772861
cg00238052,TCEAL2,X,101380291
cg00239071,C14orf68,14,100789737
cg00239419,TUBD1;RPS6KB1,17,57969186
cg00239685,TTC21A;GORASP1,3,39148342
cg00240432,TWIST1,7,19157296
cg00240880,WISP2,20,43343233
cg00241355,GAPDH,12,6643629
cg00242839,RBM17,10,6130578
cg00243313,IRX4,5,1883413
cg00245878,ZNF117,7,64450875
cg00247489,CR2,1,207628182
cg00250430,DMRT2,9,1051579
cg00253200,C3orf59,3,192636074
cg00256074,MYLPF,16,30386150
cg00256166,KLHL25,15,86338428
cg00256281,PMM1,22,41985642
cg00259755,PWWP2B,10,134209763
cg00261552,CREBL2,12,12764894
cg00261781,MATN3,2,20212517
cg00262415,PUSL1;ACAP3,1,1242732
cg00263760,VAX1,10,118897366
cg00265415,B3GALNT2,1,235667507
cg00265490,MTDH,8,98655845
cg00268009,ADH5,4,100010211
cg00268338,HECTD2;LOC100188947,10,93169495
cg00269115,C1orf213;ZNF436,1,23695530
cg00273068,EMILIN3,20,39995747
cg00273124,NHP2,5,177581512
cg00274399,FGF9,13,22245420
cg00275232,ZNF296,19,45579541
cg00276797,SLK,10,105726614
cg00278366,RAD9B;VPS29,12,110940287
cg00279797,AMMECR1,X,109561918
cg00280814,ZDHHC8P,22,23745389
cg00282347,CHD5,1,6241040
cg00282683,UBE3C,7,156931995
cg00283535,ANXA13,8,124749564
cg00288562,TRA2A,7,23571645
cg00290028,RFXAP,13,37393125
cg00290506,CNIH3,1,224804226
cg00291877,SNRPA1,15,101835933
cg00292662,LGALS1,22,38071168
cg00292971,FAM131B,7,143060536
cg00293409,LRRC33,3,196366669
cg00294382,IL23A,12,56732721
cg00295206,RAB7A,3,128444813
cg00295325,ABCB11,2,169887932
cg00297584,NCRNA00173,12,116971031
cg00297600,UNC5D,8,35401670
cg00298357,IL17B,5,148758791
cg00298951,CMKLR1,12,108733791
cg00301864,RAB35,12,120554472
cg00302793,PPP3CA,4,102268125
cg00303548,HS6ST3,13,96742413
cg00307685,BRDT,1,92415524
cg00308133,GAMT,19,1401118
cg00308665,HTR2A,13,47469654
cg00309056,STARD3NL,7,38218112
cg00309204,C17orf61,17,7307432
cg00311768,TSTA3,8,144698857
cg00312919,STARD3NL,7,38217710
cg00314943,ALPPL2,2,233270750
cg00315936,SND1,7,127292739
cg00317680,MTERFD1;PTDSS1,8,97274070
cg00318573,CHRNA4,20,61993118
cg00318865,ACVR1B,12,52345896
cg00319692,ATP6V0D2,8,87111119
cg00319761,PKMYT1,16,3030447
cg00320243,RAB3A,19,18314691
cg00321065,RLF,1,40627063
cg00321478,CRB1,1,197238398
cg00323915,GIMAP4,7,150264987
cg00324733,NUCB2,11,17298347
cg00325491,,11,93286170
cg00327185,DLAT,11,111896498
cg00327483,CASQ1,1,160160587
cg00328227,C1orf59,1,109204325
cg00331237,CSRP2,12,77273319
cg00331433,SYAP1,X,16737800
cg00332153,BANK1,4,102712010
cg00332745,NOL3,16,67208247
cg00333226,VWC2,7,49813763
cg00333528,GABRR1,6,89927485
cg00334507,PRRT2,16,29824599
cg00335286,MC2R,18,13916355
cg00336605,NR1H2,19,50879437
cg00338702,CHFR,12,133463694
cg00338893,MRPS33,7,140714614
cg00340102,ERGIC3,20,34129456
cg00342530,GARNL3,9,130027020
cg00343092,TSPO,22,43547974
cg00344358,GDF11,12,56135693
cg00344372,HGFAC,4,3443625
cg00344709,POTED,21,14982225
cg00346145,RPL34;LOC285456,4,109541559
cg00347729,MMP10,11,102651753
cg00347904,SCUBE3,6,35182508
cg00350296,CD248,11,66084841
cg00350478,FRMD1,6,168480013
cg00350702,ERGIC3,20,34129927
cg00351011,LASS4,19,8274460
cg00353953,ZNF384,12,6799541
cg00354258,ZIM2,19,57306738
cg00354572,ACSS3,12,81471419
cg00355802,DUSP4,8,29208983
cg00359325,USP4,3,49377419
cg00359973,RIBC1;SMC1A,X,53449900
cg00363813,IFFO1,12,6664872
cg00364814,R3HDM2,12,57691455
cg00367281,CHRNB3,8,42552470
cg00367438,TMUB1,7,150780797
cg00368022,C5orf22;RNASEN,5,31532653
cg00368415,SNX27,1,151584398
cg00371195,F2,11,46740481
cg00374717,ARSG,17,66303145
cg00375964,ABCE1;ANAPC10,4,146019130
cg00376639,ZNF581,19,56155151
cg00380464,LTV1,6,144164650
cg00381076,C18orf54,18,51884797
cg00382515,MRPL44,2,224822229
cg00384537,KRT35,17,39637963
cg00386408,TGFBI,5,135364970
cg00387170,FOXP4,6,41514002
cg00392257,ISG20L2,1,156696747
cg00393585,C4orf39;TRIM61,4,165878091
cg00394658,PTPRJ,11,48001669
cg00396163,DNAH6,2,84743584
cg00396894,C2orf53,2,27362420
cg00397545,APOC1,19,45417526
cg00397740,PPOX,1,161136321
cg00398048,AGA,4,178364342
cg00399483,DCC,18,49868378
cg00400263,C20orf177;PPP1R3D,20,58514201
cg00401678,EMR3,19,14787227
cg00402366,LRRIQ3;TNNI3K;FPGT,1,74663750
cg00403724,TNMD,X,99839289
cg00404599,TSC22D3,X,107018431
cg00405070,ERP29;TMEM116,12,112450647
cg00405568,NMT1;DCAKD,17,43138965
cg00405677,HAND1,5,153858102
cg00406188,LCE2C,1,152647216
cg00406844,RFPL3,22,32753939
cg00407150,HHATL,3,42743794
cg00410419,COMMD6,13,76111785
cg00410576,MAPK6,15,52311136
cg00410831,ZNF45,19,44429318
cg00410895,CCDC23;ERMAP,1,43283884
cg00410898,STC1,8,23712355
cg00411097,TMEM184A,7,1596050
cg00412772,YIF1B;C19orf33,19,38794845
cg00412805,KBTBD5,3,42726970
cg00413066,BCL2L10,15,52405464
cg00415978,SYNPO2,4,119809925
cg00415993,F2RL2;IQGAP2,5,75919188
cg00417297,ZNF619,3,40518742
cg00418150,ALX4,11,44327869
cg00419564,S100A6,1,153508860
cg00420568,SHC3,9,91794904
cg00420715,VPS13B,8,100025364
cg00420929,PGPEP1,19,18451112
cg00422913,C17orf91;WDR81,17,1619022
cg00424946,SNTB2,16,69221172
cg00425710,MT1A,16,56672671
cg00425792,PEX12,17,33905503
cg00426056,CUTA,6,33385896
cg00426498,MYO18A,17,27507667
cg00426963,KIF27,9,86535755
cg00427635,TBC1D21,15,74166372
cg00429618,ZNF322B,9,99962350
cg00430287,FRK,6,116382876
cg00430945,LIN7B,19,49617309
cg00431050,ELOVL3,10,103985730
cg00431114,TTPAL,20,43104027
cg00431549,MGP,12,15039025
cg00432979,MRP63;SKA3,13,21750473
cg00433406,VWA5B1,1,20616975
cg00434413,RENBP;NAA10,X,153201653
cg00435408,FAM192A;RSPRY1,16,57220662
cg00436282,STATH,4,70861449
cg00436301,NT5DC1,6,116421736
cg00436603,CYP2E1,10,135340740
cg00441136,KIF3B,20,30864848
cg00441382,STOML1,15,74284481
cg00443307,KLRG1,12,9141740
cg00445824,ISYNA1,19,18548929
cg00446235,TSTD1,1,161008644
cg00447208,TMC8;TMC6,17,76126301
cg00448720,C1QTNF9,13,24883014
cg00449941,SPAG5,17,26926011
cg00451635,EMP2,16,10675030
cg00453193,TES,7,115851050
cg00453258,CALHM1,10,105219172
cg00459975,INTS9;HMBOX1,8,28749099
cg00461841,ATF7IP2,16,10523485
cg00462311,NFATC4,14,24837184
cg00462994,NAGS;PYY,17,42081955
cg00463202,ADPRHL1,13,114107710
cg00463577,C6orf150,6,74161911
cg00463848,KRT2,12,53046105
cg00464269,TNFAIP1;IFT20,17,26662842
cg00465284,CTNNA2;LRRTM1,2,80531898
cg00466249,SLC38A10,17,79269884
cg00466436,DEFB126,20,123163
cg00466492,TIMM44;CTXN1,19,7991731
cg00466544,C14orf101,14,57046243
cg00468146,ID4,6,19838211
cg00469635,PPME1;C2CD3,11,73882471
cg00471562,WDR37,10,1102373
cg00472136,TAC3,12,57410604
cg00472814,ADAMTS1,21,28217676
cg00474004,IFNA14,9,21239944
cg00474209,DLL1,6,170600060
cg00475955,C9orf114,9,131592049
cg00476580,ANP32E,1,150207583
cg00479269,C2orf29,2,101869975
cg00480115,FXYD3,19,35606877
cg00480209,SCO1;C17orf48,17,10600689
cg00480356,SERINC4;C15orf63,15,44092806
cg00481227,CTNNBL1,20,36322069
cg00483154,DDX41,5,176943504
cg00485296,NME3,16,1821559
cg00485380,CBX3;HNRNPA2B1,7,26240560
cg00487159,SOCS1,16,11349568
cg00488364,IL13RA2,X,114253315
cg00488718,MFSD8;C4orf29,4,128887044
cg00489401,FLT4,5,180075875
cg00491404,EPS8L3,1,110306591
cg00491839,PPP1R15A,19,49375640
cg00493400,STAT1,2,191879127
cg00495415,SP1,12,53773795
cg00495442,RALGAPB,20,37101172
cg00496170,EIF2S1;ATP6V1D,14,67826880
cg00497084,PPEF1,X,18709116
cg00497251,RNPEPL1,2,241508725
cg00498305,SLC18A2,10,119000236
cg00498604,TLL1,4,166793789
cg00499599,C21orf57;MCM3AP,21,47706392
cg00499822,CXCL12,10,44881551
cg00500400,EP300;MIR1281,22,41487283
cg00501366,ALOX12B,17,7992476
cg00502442,ZDHHC14,6,157801893
cg00503458,KIAA0907,1,155904439
cg00503840,DLX5,7,96650509
cg00504595,TNFRSF19,13,24144985
cg00509616,GCOM1,15,57884415
cg00509670,PAX9,14,37130313
cg00510787,C6orf211;RMND1,6,151772946
cg00510956,KHDRBS1,1,32478440
cg00511475,CDH15,16,89238330
cg00512031,CYTL1,4,5021976
cg00512279,SLC18A2,10,119000991
cg00512374,IGFBP4,17,38599682
cg00513220,MOSC2,1,220922123
cg00513467,KLHL9,9,21335551
cg00514407,SERPINE2,2,224904626
cg00514895,CPZ,4,8594413
cg00515905,EPS8L3,1,110306507
cg00516481,PDE9A,21,44073202
cg00518989,LIMK2,22,31608519
cg00519208,EVI5,1,93258319
cg00519627,CORO7,16,4466650
cg00520135,TPM1,15,63333846
cg00520708,C5orf24,5,134181266
cg00521434,GPR61,1,110081965
cg00521598,MYCBP,1,39339413
cg00522034,CBLB,3,105587721
cg00522316,KHSRP,19,6425042
cg00524288,UPP1,7,48128452
cg00528052,KDM5B,1,202777295
cg00528967,STK24,13,99228955
cg00532335,LGI1,10,95516861
cg00532890,PBX1,1,164528682
cg00534274,SLC7A11,4,139163341
cg00536175,GATA1,X,48645024
cg00537910,ATG9A;ABCB6,2,220084611
cg00539322,SAG,2,234216360
cg00539716,FOXN2,2,48541921
cg00539955,PARVB,22,44395433
cg00540544,CSRP1,1,201476297
cg00540769,RNU5E;RNU5D;ACOT12,5,80689492
cg00544557,DSCR10,21,39578742
cg00545573,TAOK3,12,118810436
cg00546491,PDE1C,7,32111062
cg00546897,LOC284837,21,45232232
cg00547018,ALG1,16,5121709
cg00547789,RAB39B,X,154493750
cg00547829,TUBD1;RPS6KB1,17,57970161
cg00548060,NPL,1,182761905
cg00548268,NPTX2,7,98245830
cg00550617,KRTAP9-9;KRTAP9-4,17,39405817
cg00551244,,8,125183776
cg00554173,ProSAPiP1,20,3149777
cg00554250,NR1H3,11,47281370
cg00554682,ZNF804A,2,185463132
cg00554702,CHEK1,11,125496645
cg00556408,TMPRSS6,22,37500588
cg00557354,ARHGEF7,13,111767899
cg00559473,AAAS,12,53715592
cg00560119,STXBP1,9,130374109
cg00563229,XKR8,1,28286146
cg00563845,PXK,3,58318305
cg00563926,TGFBR3,1,92352481
cg00563932,PTGDS,9,139871049
cg00564163,STEAP4,7,87935979
cg00565075,MIR659;EIF3L,22,38244893
cg00565688,TP73,1,3568212
cg00566759,DSC2,18,28682345
cg00567479,FARP2,2,242295999
cg00567749,VCAN,5,82767908
cg00568128,MIR2110;C10orf118,10,115934100
cg00568792,STT3A,11,125462554
cg00569620,ABHD10,3,111697653
cg00571634,WDR5B,3,122134820
cg00573606,COL6A3,2,238322680
cg00575744,HLA-DMB,6,32908642
cg00576250,,20,45087765
cg00577167,ALDOB,9,104197675
cg00577464,SHH,7,155604780
cg00579393,REG1B,2,79316004
cg00579402,FUT6,19,5838999
cg00581156,DIMT1L,5,61699416
cg00582628,RGS20,8,54764515
cg00584022,KRAS,12,25403167
cg00585790,LIMS1,2,109204845
cg00585846,NFKBIL1;ATP6V1G2,6,31515458
cg00586909,CDKAL1,6,20534671
cg00587613,GPR152,11,67220223
cg00592315,C14orf86;FAM181A,14,94384611
cg00594118,COBRA1,9,140150000
cg00594952,RIMS3,1,41130641
cg00596686,STS,X,7137332
cg00597076,MYO1C,17,1395880
cg00598858,PRKCSH;CCDC151,19,11545966
cg00600110,FAM9A,X,8769528
cg00600684,WDR11,10,122610158
cg00601486,H1FNT,12,48723148
cg00602891,C17orf62,17,80408864
cg00605270,SMPDL3B,1,28261552
cg00609097,TESK2,1,45956974
cg00611397,GTPBP5,20,60768026
cg00612467,HADH,4,108911077
cg00613255,INS-IGF2;INS,11,2182376
cg00613344,HHIPL2,1,222722670
cg00614413,PTPRS,19,5286594
cg00615241,PRTN3,19,839689
cg00615377,RBM9,22,36236649
cg00615915,SERPINB8,18,61637299
cg00616129,STYK1,12,10827014
cg00616135,LACTB,15,63413614
cg00616369,NCL,2,232329096
cg00617305,SHISA4,1,201857940
cg00618396,VBP1,X,154444551
cg00619207,DENND2D,1,111743368
cg00620024,PPP6C,9,127952891
cg00620223,CENPF,1,214776904
cg00620629,ZUFSP,6,116989951
cg00620857,ACOT4,14,74057820
cg00622552,ODF3L1,15,76016335
cg00622677,TSPAN5,4,99579248
cg00623593,DOCK1,10,128767610
cg00625425,KANK4,1,62785512
cg00625653,WNT7A,3,13921227
cg00626119,SH2D2A;NTRK1,1,156785288
cg00626466,GNS,12,65153982
cg00629217,LNX1,4,54425349
cg00629585,GFI1B,9,135853992
cg00630164,KCNQ4,1,41250062
cg00630249,CYB561D1,1,110036889
cg00630583,PXMP2;POLE,12,133264314
cg00631230,VPS33A,12,122750916
cg00633969,PARP9;DTX3L,3,122284550
cg00635481,ZNF76,6,35226917
cg00636639,RBM18;MRRF,9,125027249
cg00638514,OTOP3,17,72932048
cg00642303,ACAP2,3,195162912
cg00643392,RTBDN,19,12946856
cg00644033,,7,100544704
cg00645579,IRF7;MUPCDH,11,617140
cg00645922,TMED7;TMED7-TICAM2,5,114962179
cg00646140,ARSD,X,2847561
cg00646492,GSTO1,10,106014296
cg00647741,ZNF274,19,58693450
cg00648153,SLC17A5,6,74364149
cg00648883,EEF1DP3,13,32524761
cg00650762,EPHB2,1,23037368
cg00650876,YBX1,1,43148058
cg00651216,HSP90AB1,6,44213720
cg00653387,PTN,7,137028535
cg00654814,MGAT5B,17,74865068
cg00654816,LYAR;ZNF509,4,4291411
cg00655307,ESR1,6,152128743
cg00655779,CCT7;C2orf7,2,73461068
cg00657095,PPARD,6,35310123
cg00657582,CHD8,14,21904906
cg00658007,RD3,1,211666129
cg00658626,CCDC63,12,111284979
cg00659129,ASAP1,8,131414614
cg00659953,FAM173A,16,770731
cg00660989,KLHL28;FAM179B,14,45432516
cg00661202,TMEM43;CHCHD4,3,14166502
cg00661485,FOXI1,5,169533372
cg00662556,GALR1,18,74963364
cg00665395,TTLL4,2,219575490
cg00666446,ZNF670,1,247242273
cg00666746,SYDE1,19,15217781
cg00668685,SLC39A5,12,56624552
cg00669623,CDK11B;CDK11A,1,1655867
cg00669856,SPRY1,4,124317779
cg00671161,ALG11;ATP7B,13,52586367
cg00672638,ARHGAP26,5,142149399
cg00673020,MOSPD1,X,134049678
cg00673191,DOPEY2,21,37536923
cg00676660,ADAMTS9,3,64672609
cg00677811,CCM2,7,45040321
cg00678539,MNS1,15,56757625
cg00679556,TRIM31,6,30080782
cg00679738,FAM89A,1,231175246
cg00682653,VTI1B,14,68141442
cg00684178,NEU4,2,242752080
cg00685836,PPFIA2,12,82153256
cg00686022,C12orf40,12,40020078
cg00686623,CAPN1,11,64949038
cg00687674,MIR548H4;TMEM84,15,69373260
cg00687686,NDRG4,16,58497236
cg00688421,RAP1GDS1,4,99181920
cg00689010,COPA;NCSTN,1,160311893
cg00689014,GAST,17,39869138
cg00689340,RTKN,2,74668672
cg00690049,MAGED2,X,54834244
cg00690280,WFDC10B;WFDC13,20,44332733
cg00691625,NR5A1,9,127269807
cg00692549,TARDBP,1,11072455
cg00695416,CBR1,21,37442476
cg00698688,SULT2B1,19,49055432
cg00702231,PLAGL1;HYMAI,6,144329473
cg00702729,GAL3ST4;C7orf43,7,99757654
cg00704310,KCTD15,19,34288103
cg00704909,COPB1,11,14521319
cg00705255,LILRA3,19,54804613
cg00706536,ATP6V0A1,17,40609826
cg00707317,NMNAT2,1,183387564
cg00708598,LECT1,13,53313895
cg00708642,EIF5,14,103800518
cg00711916,CNNM4,2,97426274
cg00712898,PRPF38B,1,109235208
cg00714377,SLA2,20,35274715
cg00717862,TBCCD1;DNAJB11,3,186288771
cg00718440,CDKN2BAS;CDKN2A,9,21995312
cg00718513,,2,89215272
cg00718748,ZNF624,17,16556871
cg00720072,MARCH5;CPEB3,10,94051159
cg00720137,DYNLRB2,16,80575018
cg00720723,NOP58,2,203130645
cg00722300,RLN3,19,14138639
cg00724662,NXF1,11,62573193
cg00725635,B3GALT2;CDC73,1,193155806
cg00725777,NGFRAP1,X,102630411
cg00727590,PLA2G3,22,31536549
cg00727947,LILRA5,19,54825100
cg00728317,MT1F,16,56692033
cg00728398,MEAF6,1,37980699
cg00728602,C6orf27,6,31744927
cg00729275,AQP4;C18orf16,18,24445134
cg00729541,FAM73B,9,131798577
cg00729708,LASS3,15,101084442
cg00729875,PALMD,1,100111713
cg00730260,C12orf67,12,24736888
cg00731459,HDAC4,2,240323091
cg00733682,ZNF44,19,12405568
cg00734993,MTCH1,6,36953694
cg00736326,ARPC1A,7,98923878
cg00737514,TBC1D1,4,37893313
cg00739120,GAPDHS;TMEM147,19,36035875
cg00741717,TLR8;LOC349408,X,12924184
cg00743372,ZNF192,6,28109648
cg00744433,CXADR,21,18884067
cg00745543,H1FNT,12,48722754
cg00745735,MYPN,10,69868860
cg00746083,CHD8,14,21905454
cg00746130,BAT5,6,31671271
cg00746981,HDGF,1,156721141
cg00747849,SLC25A1,22,19165386
cg00750606,,1,20899121
cg00751288,LYRM7,5,130506785
cg00754253,HRASLS5,11,63259187
cg00754617,FAM83E;SPACA4,19,49109288
cg00755043,NXNL2,9,91150159
cg00755709,BAAT,9,104147631
cg00756058,DZIP1,13,96296844
cg00756887,PVRL4,1,161059654
cg00757070,UPK2,11,118827082
cg00757952,CRYBB1,22,27014415
cg00761755,SLC43A2,17,1531579
cg00762512,RPL9;LIAS,4,39460606
cg00763679,SEPT2;HDLBP,2,242254198
cg00763889,HRASLS2,11,63330544
cg00766729,ZNF784,19,56136136
cg00766889,SEPHS1,10,13390384
cg00767581,HOXD4;MIR10B,2,177015125
